;Capitals;Capitals_0011;Point;1.44618;42.5048;1.44618;42.5048;POINT(1.44618 42.5048);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Andorra La Vella</attribute><attribute name="Country" type="C" length="30" dec="0">Andorra</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">54000</attribute><attribute name="Long" type="N" length="11" dec="0">1.55677</attribute><attribute name="Lat" type="N" length="11" dec="0">42.5241</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0012;Point;32.7411;39.9114;32.7411;39.9114;POINT(32.7411 39.9114);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Ankara</attribute><attribute name="Country" type="C" length="30" dec="0">Turkey</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">2553000</attribute><attribute name="Long" type="N" length="11" dec="0">32.8516</attribute><attribute name="Lat" type="N" length="11" dec="0">39.9307</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0013;Point;47.5264;-18.9106;47.5264;-18.9106;POINT(47.5264 -18.9106);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Antanarivo</attribute><attribute name="Country" type="C" length="30" dec="0">Madagascar</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">802000</attribute><attribute name="Long" type="N" length="11" dec="0">47.5264</attribute><attribute name="Lat" type="N" length="11" dec="0">-18.9106</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0014;Point;-171.75;-13.8339;-171.75;-13.8339;POINT(-171.75 -13.8339);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Apia</attribute><attribute name="Country" type="C" length="30" dec="0">Western Samoa</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">35000</attribute><attribute name="Long" type="N" length="11" dec="0">-171.75</attribute><attribute name="Lat" type="N" length="11" dec="0">-13.8339</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0015;Point;58.3891;37.952;58.3891;37.952;POINT(58.3891 37.952);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Ashkhabad</attribute><attribute name="Country" type="C" length="30" dec="0">Turkmenistan</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">416000</attribute><attribute name="Long" type="N" length="11" dec="0">58.3891</attribute><attribute name="Lat" type="N" length="11" dec="0">37.952</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0016;Point;38.9909;15.0997;38.9909;15.0997;POINT(38.9909 15.0997);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Asmera</attribute><attribute name="Country" type="C" length="30" dec="0">Eritrea</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">0</attribute><attribute name="Long" type="N" length="11" dec="0">38.9909</attribute><attribute name="Lat" type="N" length="11" dec="0">15.0997</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0017;Point;-57.6227;-25.3075;-57.6227;-25.3075;POINT(-57.6227 -25.3075);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Asuncion</attribute><attribute name="Country" type="C" length="30" dec="0">Paraguay</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">607000</attribute><attribute name="Long" type="N" length="11" dec="0">-57.6227</attribute><attribute name="Lat" type="N" length="11" dec="0">-25.3075</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0018;Point;23.5052;38.003;23.5052;38.003;POINT(23.5052 38.003);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Athens</attribute><attribute name="Country" type="C" length="30" dec="0">Greece</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">748110</attribute><attribute name="Long" type="N" length="11" dec="0">23.6158</attribute><attribute name="Lat" type="N" length="11" dec="0">38.0223</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0019;Point;-166.082;-11.9128;-166.082;-11.9128;POINT(-166.082 -11.9128);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Avarua</attribute><attribute name="Country" type="C" length="30" dec="0">Cook Islands</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">219600</attribute><attribute name="Long" type="N" length="11" dec="0">-166.082</attribute><attribute name="Lat" type="N" length="11" dec="0">-11.9128</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
;Capitals;Capitals_0020;Point;44.3965;33.3351;44.3965;33.3351;POINT(44.3965 33.3351);;EPSG:4326;<attributes><attribute name="Capital" type="C" length="25" dec="0">Baghdad</attribute><attribute name="Country" type="C" length="30" dec="0">Iraq</attribute><attribute name="Cap_Pop" type="N" length="8" dec="0">3400000</attribute><attribute name="Long" type="N" length="11" dec="0">44.3965</attribute><attribute name="Lat" type="N" length="11" dec="0">33.3351</attribute><attribute name="Scale" type="N" length="11" dec="0">10</attribute></attributes>;
